Reference(s),Qty,Value,Footprint
C1,1,1000u,Capacitor_THT:CP_Radial_D13.0mm_P5.00mm
"C3, C4, C5, C6",4,0.1u,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
D1,1,SS14,Diode_SMD:D_SMA_Handsoldering
"D2, D3, D4, D5",4,LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
"Q1, Q3",2,2N7002,Package_TO_SOT_SMD:SOT-23
"Q2, Q4, Q5",3,IRF4905,Package_TO_SOT_THT:TO-220-3_Vertical
"R1, R5",2,22,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
"R2, R3, R7, R8, R13",5,10K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
"R4, R12, R14",3,100K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
"R6, R9, R11, R17",4,4.7K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
